iter	SMAPE	RMSE
0	53.46918999	113.5917896
1	49.28175677	103.1468712
2	45.47148924	93.64062155
3	41.99855348	85.20855002
4	38.79673665	77.52054662
5	35.86166203	70.75052821
6	33.16711598	64.71919205
7	30.70308916	59.38919533
8	28.46176255	54.69903049
9	26.40775925	50.50933716
10	24.57618668	46.631306
11	22.80161658	43.22704523
12	21.29819468	40.14340918
13	19.81120656	37.43201408
14	18.45315807	35.009898
15	17.24344469	32.92937115
16	16.0886822	31.02040824
17	15.14467427	29.3471303
18	14.22365426	27.90581807
19	13.33001539	26.56420603
20	12.61395278	25.43792142
21	11.86854668	24.32549346
22	11.21943068	23.38734964
23	10.668337	22.6282142
24	10.20892624	21.96815927
25	9.708059584	21.3000731
26	9.303469463	20.66023349
27	8.936610653	20.13806223
28	8.581773181	19.56847163
29	8.245775303	19.10261509
30	7.986226002	18.73615239
31	7.711249835	18.37645315
32	7.424583819	17.94296288
33	7.210739305	17.58645424
34	6.990688432	17.31390311
35	6.789759884	17.00725731
36	6.594137128	16.74351581
37	6.47836974	16.55032101
38	6.346145783	16.39565264
39	6.245318417	16.20398639
40	6.156662301	16.08091469
41	6.068538671	15.94217747
42	5.941786615	15.72250303
43	5.827590708	15.53019366
44	5.73610428	15.41799002
45	5.6922877	15.3407718
46	5.583673036	15.16067399
47	5.532003243	15.06957652
48	5.465079273	14.96650246
49	5.387452861	14.82371176
50	5.329648963	14.71565877
51	5.299711621	14.64569286
52	5.258416546	14.56837252
53	5.221173287	14.51135843
54	5.16786997	14.40695393
55	5.118111078	14.29660284
56	5.090291089	14.21042374
57	5.052675052	14.12595026
58	5.016814555	14.03885011
59	4.993209877	13.9950742
60	4.962703857	13.93697607
61	4.951510202	13.89702272
62	4.93129522	13.84503523
63	4.908073722	13.79730249
64	4.889651133	13.73999833
65	4.864656284	13.67397598
66	4.835306004	13.61158681
67	4.81129403	13.54588006
68	4.788375104	13.50230046
69	4.778311531	13.46758227
70	4.764608127	13.4147889
71	4.754382058	13.36812191
72	4.746820461	13.34126003
73	4.731412494	13.29289175
74	4.711541171	13.25455873
75	4.702802829	13.21744683
76	4.695908342	13.19228385
77	4.685604973	13.1709953
78	4.677244338	13.1443645
79	4.65414439	13.09868488
80	4.636298439	13.05792996
81	4.623594797	13.01641267
82	4.613218324	12.98789276
83	4.609251559	12.97162696
84	4.602157876	12.94346356
85	4.588345054	12.9082129
86	4.571750674	12.87460268
87	4.566424289	12.84832789
88	4.557695108	12.81647114
89	4.547110174	12.78863713
90	4.537273709	12.76440361
91	4.529089543	12.73630189
92	92	4.630353446	13.44938893	93	4.611753287	13.42310898
94	4.597342085	13.39643195	95	4.586837953	13.3628296	496	4.582790454	13.3407497	497	4.570824221	13.2945198	98	4.566144076	13.27507672
99	4.559288728	13.24910719
100	4.551407656	13.2266073
101	4.545252381	13.20847385
102	4.537906469	13.17956823
103	4.531411993	13.15470804
104	4.524234288	13.12541905
105	4.519127328	13.10511361
106	4.514611577	13.08896761
107	4.508087759	13.06521399
108	4.491043379	13.03600071
109	4.483030919	13.01396615
110	4.476256201	12.99370294
111	4.470031262	12.9752843
112	4.466646347	12.95829802
113	4.455900678	12.9300908
114	4.449841956	12.90281955
115	4.444767421	12.88531353
116	4.436950322	12.85759983
117	4.4308483	12.8350018
118	4.427382175	12.81217106
119	4.421469147	12.78960415
120	4.415153182	12.76793002
121	4.41206014	12.75333901
122	4.408647901	12.73631881
123	4.40631508	12.72175395
124	4.404224355	12.70856002
125	4.399339819	12.68620173
126	4.392679743	12.66592989
127	4.387493303	12.6446359
128	4.376030005	12.62660361
129	4.373838411	12.61840765
130	4.371453539	12.60527457
131	4.365185474	12.58389649
132	4.360894923	12.56742319
133	4.355286123	12.54920402
134	4.353911085	12.5329872
135	4.34805508	12.5104592
136	4.343288679	12.49152374
137	4.340448407	12.47787945
138	4.337121863	12.46266526
139	4.334270498	12.45196459
140	4.325708884	12.43603554
141	4.320819948	12.41915088
142	4.315889807	12.40218271
143	4.312225491	12.38722004
144	4.308922432	12.37461864
145	4.305165652	12.35961916
146	4.301616176	12.34701247
147	4.296647067	12.32985056
148	4.294733369	12.31983186
149	4.291963896	12.30777948
150	4.288527849	12.29393157
151	4.284652982	12.27650329
152	4.281761453	12.26405623
153	4.279136996	12.25638205
154	4.274266429	12.24312488
155	4.269759219	12.2316975
156	4.267329693	12.22137875
157	4.263915164	12.20879067
158	4.260433514	12.1935841
159	4.257493392	12.18056626
160	4.254184703	12.16195328
161	4.249241133	12.14721393
162	4.246937969	12.13655336
163	4.242289261	12.1233119
164	4.239804811	12.11100507
165	4.235529965	12.10115494
166	4.234321447	12.09177476
167	4.232301937	12.0818294
168	4.228883082	12.06936063
169	4.226738437	12.05901985
170	4.223870711	12.04501913
171	4.2205328	12.03342934
172	4.216574367	12.01666374
173	4.204600376	12.00580991
174	4.198428175	11.99609604
175	4.192354343	11.98676917
176	4.190147053	11.97531196
177	4.187112659	11.96605179
178	4.182518181	11.95248416
179	4.179154653	11.94020809
180	4.174110044	11.92811528
181	4.166967498	11.91787483
182	4.165209529	11.91156301
183	4.162588944	11.90514735
184	4.159819773	11.89465952
185	4.150557298	11.88480439
186	4.149027769	11.87360473
187	4.146567371	11.86468597
188	4.144256703	11.85464231
189	4.142306285	11.84574254
190	4.138796458	11.83854405
191	4.135474436	11.83196753
192	4.133213735	11.82023112
193	4.130849213	11.80968924
194	4.12792088	11.79581692
195	4.12558749	11.79112707
196	4.122877431	11.78133662
197	4.120683878	11.76816234
198	4.118125311	11.75866015
199	4.115685136	11.74988592
