iter	Passed	Remaining
0	35	7121
1	65	6454
2	98	6477
3	114	5599
4	136	5330
5	172	5562
6	201	5559
7	230	5536
8	254	5394
9	276	5246
10	302	5190
11	330	5181
12	362	5210
13	399	5309
14	421	5198
15	448	5158
16	472	5087
17	494	5001
18	516	4922
19	539	4857
20	571	4873
21	596	4829
22	624	4809
23	649	4764
24	681	4769
25	706	4725
26	735	4710
27	775	4765
28	817	4822
29	853	4837
30	884	4819
31	907	4764
32	926	4687
33	950	4641
34	975	4596
35	997	4545
36	1022	4503
37	1050	4479
38	1076	4444
39	1104	4419
40	1129	4382
41	1154	4344
42	1182	4317
43	1208	4286
44	1239	4269
45	1265	4235
46	1286	4188
47	1314	4162
48	1342	4136
49	1368	4105
50	1393	4070
51	1417	4033
52	1443	4002
53	1468	3970
54	1495	3942
55	1522	3915
56	1547	3883
57	1572	3850
58	1586	3790
59	1611	3759
60	1636	3728
61	1661	3697
62	1690	3675
63	1717	3649
64	1740	3614
65	1762	3579
66	1785	3544
67	1806	3506
68	1828	3470
69	1853	3442
70	1876	3409
71	1902	3383
72	1926	3350
73	1951	3323
74	1977	3295
75	2002	3267
76	2027	3239
77	2051	3209
78	2075	3179
79	2101	3151
80	2123	3119
81	2149	3092
82	2175	3066
83	2201	3039
84	2228	3015
85	2255	2989
86	2284	2967
87	2311	2942
88	2334	2911
89	2359	2883
90	2380	2851
91	2402	2820
92	2471	2843
93	2495	2814
94	2515	2780
95	2540	2752
96	2565	2723
97	2592	2697
98	2614	2667
99	2639	2639
100	2663	2610
101	2687	2582
102	2711	2553
103	2739	2528
104	2763	2500
105	2788	2472
106	2814	2446
107	2838	2417
108	2859	2387
109	2884	2359
110	2907	2331
111	2936	2307
112	2962	2280
113	2986	2252
114	3014	2228
115	3039	2201
116	3065	2174
117	3090	2147
118	3115	2120
119	3143	2095
120	3168	2068
121	3191	2040
122	3215	2012
123	3239	1985
124	3264	1958
125	3292	1933
126	3315	1905
127	3341	1879
128	3363	1851
129	3385	1822
130	3408	1795
131	3433	1768
132	3457	1741
133	3480	1714
134	3509	1689
135	3535	1663
136	3565	1639
137	3591	1613
138	3619	1588
139	3641	1560
140	3664	1533
141	3688	1506
142	3715	1480
143	3738	1453
144	3762	1427
145	3786	1400
146	3811	1374
147	3832	1346
148	3856	1320
149	3880	1293
150	3904	1267
151	3928	1240
152	3951	1213
153	3976	1187
154	4000	1161
155	4026	1135
156	4055	1110
157	4084	1085
158	4115	1061
159	4145	1036
160	4174	1011
161	4202	985
162	4232	960
163	4277	938
164	4317	915
165	4342	889
166	4366	862
167	4391	836
168	4416	810
169	4442	783
170	4464	757
171	4486	730
172	4512	704
173	4539	678
174	4564	652
175	4587	625
176	4610	599
177	4632	572
178	4659	546
179	4684	520
180	4711	494
181	4735	468
182	4759	442
183	4782	415
184	4809	389
185	4832	363
186	4866	338
187	4892	312
188	4921	286
189	4937	259
190	4952	233
191	4968	207
192	4987	180
193	5001	154
194	5018	128
195	5031	102
196	5042	76
197	5055	51
198	5065	25
199	5075	0
